iso3c,country,income_group,adult_literacy,ctrl_corrup,edu_spend_gdp,gdp_pc_ppp,gini,gov_effect,gpi_sec,gpi_tert,inc_share_low20,pop_total,poverty_215,sec_completion,sec_enrol_gross,tert_enrol_gross,voice_account,work_age_share,youth_literacy,indicators_observed,overall_coverage
FRO,Faroe Islands,High income,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,
PYF,French Polynesia,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
GIB,Gibraltar,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0,1.0,0.0,0.8,0.8,0.0,0.0,1.0,0.0,6,
GRL,Greenland,High income,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,
GUM,Guam,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
HKG,"Hong Kong SAR, China",High income,0.0,0.0,1.0,1.0,0.0,0.0,0.7,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,9,
IMN,Isle of Man,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
NCL,New Caledonia,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
MNP,Northern Mariana Islands,High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
SXM,Sint Maarten (Dutch part),High income,0.0,0.0,0.2,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,6,
MAF,St. Martin (French part),High income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,
VIR,Virgin Islands (U.S.),High income,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,
DOM,Dominican Republic,Upper middle income,1.0,0.9,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,1.0,17,0.9647058823529413
SLV,El Salvador,Upper middle income,1.0,0.9,1.0,1.0,0.8,0.9,1.0,1.0,0.8,1.0,0.8,0.9,1.0,1.0,0.9,1.0,1.0,17,0.9411764705882353
ARM,Armenia,Upper middle income,0.7,0.9,0.9,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,1.0,0.7,17,0.9352941176470589
GEO,Georgia,Upper middle income,0.8,0.9,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.8,17,0.9352941176470588
ECU,Ecuador,Upper middle income,0.7,0.9,1.0,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.9,0.6,0.9,1.0,1.0,17,0.9235294117647059
BRA,Brazil,Upper middle income,1.0,0.9,0.8,1.0,1.0,0.9,0.9,0.9,1.0,1.0,1.0,0.5,0.9,0.9,0.9,1.0,1.0,17,0.9176470588235295
THA,Thailand,Upper middle income,0.5,0.9,0.9,1.0,1.0,0.9,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.5,17,0.9058823529411766
COL,Colombia,Upper middle income,1.0,0.9,0.6,1.0,1.0,0.9,0.8,0.8,1.0,1.0,1.0,0.8,0.8,0.8,0.9,1.0,1.0,17,0.9
IDN,Indonesia,Upper middle income,0.4,0.9,0.9,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.6,17,0.8941176470588237
MEX,Mexico,Upper middle income,1.0,0.9,0.7,1.0,0.5,0.9,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.9,1.0,1.0,17,0.8764705882352941
PER,Peru,Upper middle income,0.6,0.9,1.0,1.0,1.0,0.9,0.7,1.0,1.0,1.0,1.0,0.6,1.0,0.2,0.9,1.0,1.0,17,0.8705882352941177
TUR,Turkiye,Upper middle income,0.5,0.9,0.8,1.0,0.9,0.9,0.7,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.7,17,0.8647058823529413
IRN,"Iran, Islamic Rep.",Upper middle income,0.9,0.9,0.8,1.0,0.9,0.9,0.6,0.9,0.9,1.0,0.9,0.6,0.6,0.8,0.9,1.0,0.9,17,0.8529411764705883
SRB,Serbia,Upper middle income,0.3,0.9,0.7,1.0,0.9,0.9,0.9,1.0,0.9,1.0,0.9,0.8,0.9,1.0,0.9,1.0,0.3,17,0.8411764705882353
MDA,Moldova,Upper middle income,0.0,0.9,0.9,1.0,0.9,0.9,0.7,1.0,0.9,1.0,0.9,1.0,1.0,1.0,0.9,1.0,0.0,15,0.823529411764706
ARG,Argentina,Upper middle income,0.1,0.9,0.9,1.0,0.9,0.9,0.6,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9,1.0,0.1,17,0.8058823529411765
BLR,Belarus,Upper middle income,0.1,0.9,1.0,1.0,0.6,0.9,1.0,1.0,0.6,1.0,0.6,1.0,1.0,1.0,0.9,1.0,0.1,17,0.8058823529411765
KAZ,Kazakhstan,Upper middle income,0.0,0.9,0.9,1.0,0.7,0.9,1.0,1.0,0.7,1.0,0.7,1.0,1.0,1.0,0.9,1.0,0.0,15,0.8058823529411765
PRY,Paraguay,Upper middle income,0.6,0.9,1.0,1.0,1.0,0.9,0.6,0.6,1.0,1.0,1.0,0.6,0.6,0.0,0.9,1.0,1.0,16,0.8058823529411765
ALB,Albania,Upper middle income,0.2,0.9,0.9,1.0,0.6,0.9,0.8,1.0,0.6,1.0,0.6,0.9,1.0,1.0,0.9,1.0,0.2,17,0.7941176470588236
MYS,Malaysia,Upper middle income,0.5,0.9,0.9,1.0,0.3,0.9,1.0,1.0,0.3,1.0,0.3,1.0,1.0,1.0,0.9,1.0,0.5,17,0.7941176470588236
UKR,Ukraine,Upper middle income,0.0,0.9,0.7,1.0,0.6,0.9,0.9,0.9,0.6,1.0,0.6,0.9,0.9,0.9,0.9,1.0,0.0,15,0.7470588235294118
AZE,Azerbaijan,Upper middle income,0.5,0.9,0.9,1.0,0.0,0.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9,1.0,0.5,14,0.7411764705882353
MNG,Mongolia,Upper middle income,0.7,0.9,0.5,1.0,0.3,0.9,0.6,1.0,0.3,1.0,0.3,0.8,0.6,1.0,0.9,1.0,0.7,17,0.7352941176470589
BLZ,Belize,Upper middle income,0.2,0.9,1.0,1.0,0.1,0.9,1.0,1.0,0.1,1.0,0.1,1.0,1.0,1.0,0.9,1.0,0.2,17,0.7294117647058824
MUS,Mauritius,Upper middle income,0.4,0.9,1.0,1.0,0.1,0.9,0.9,1.0,0.1,1.0,0.1,0.9,0.9,1.0,0.9,1.0,0.3,17,0.7294117647058824
GTM,Guatemala,Upper middle income,0.5,0.9,1.0,1.0,0.1,0.9,1.0,1.0,0.1,1.0,0.1,1.0,1.0,0.3,0.9,1.0,0.5,17,0.723529411764706
MNE,Montenegro,Upper middle income,0.1,0.9,0.0,1.0,0.7,0.9,0.7,0.9,0.7,1.0,0.7,0.9,0.9,0.9,0.9,1.0,0.1,16,0.723529411764706
ZAF,South Africa,Upper middle income,0.5,0.9,1.0,1.0,0.1,0.9,0.9,0.9,0.1,1.0,0.1,0.7,0.9,0.9,0.9,1.0,0.5,17,0.723529411764706
DZA,Algeria,Upper middle income,0.0,0.9,1.0,1.0,0.0,0.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9,1.0,0.0,12,0.6882352941176472
LCA,St. Lucia,Upper middle income,0.0,0.9,1.0,1.0,0.1,0.9,1.0,0.9,0.1,1.0,0.1,0.9,1.0,0.8,0.9,1.0,0.0,15,0.6823529411764707
BIH,Bosnia and Herzegovina,Upper middle income,0.0,0.9,0.9,1.0,0.2,0.9,0.7,0.9,0.2,1.0,0.2,0.9,0.9,0.9,0.9,1.0,0.0,15,0.6764705882352943
MDV,Maldives,Upper middle income,0.3,0.9,0.9,1.0,0.2,0.9,0.6,0.9,0.2,1.0,0.2,0.8,0.9,0.5,0.9,1.0,0.3,17,0.6764705882352943
FJI,Fiji,Upper middle income,0.0,0.9,0.9,1.0,0.1,0.9,0.6,1.0,0.1,1.0,0.1,1.0,0.9,1.0,0.9,1.0,0.0,15,0.6705882352941178
JAM,Jamaica,Upper middle income,0.0,0.9,1.0,1.0,0.2,0.9,0.9,1.0,0.2,1.0,0.2,1.0,1.0,0.1,0.9,1.0,0.1,16,0.6705882352941177
WSM,Samoa,Upper middle income,0.3,0.9,1.0,1.0,0.0,0.9,0.2,1.0,0.0,1.0,0.0,1.0,1.0,0.8,0.9,1.0,0.3,14,0.6647058823529413
SUR,Suriname,Upper middle income,0.0,0.9,0.9,1.0,0.1,0.9,0.8,1.0,0.1,1.0,0.1,0.7,0.9,0.6,0.9,1.0,0.1,16,0.6470588235294119
CPV,Cabo Verde,Upper middle income,0.2,0.9,0.9,1.0,0.1,0.9,0.8,0.8,0.1,1.0,0.1,0.8,0.8,0.4,0.9,1.0,0.2,17,0.6411764705882353
MKD,North Macedonia,Upper middle income,0.0,0.9,0.0,1.0,0.5,0.9,0.5,0.8,0.5,1.0,0.5,0.8,0.8,0.8,0.9,1.0,0.0,14,0.6411764705882353
TON,Tonga,Upper middle income,0.3,0.9,0.6,0.9,0.2,0.9,0.5,0.8,0.2,1.0,0.2,0.8,0.8,0.2,0.9,1.0,0.4,17,0.623529411764706
CUB,Cuba,Upper middle income,0.1,0.9,0.8,0.0,0.0,0.9,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9,0.9,1.0,0.1,13,0.6235294117647059
CHN,China,Upper middle income,0.1,0.9,0.1,1.0,0.8,0.9,0.0,1.0,0.8,1.0,0.8,0.0,0.0,1.0,0.9,1.0,0.1,14,0.611764705882353
MHL,Marshall Islands,Upper middle income,0.2,0.9,0.4,1.0,0.1,0.9,0.7,0.8,0.1,1.0,0.1,0.7,0.8,0.5,0.9,1.0,0.2,17,0.6058823529411765
