iso3c,country,income_group,year,gini,inc_share_low20,poverty_215,sec_enrol_gross,tert_enrol_gross,sec_completion,adult_literacy,youth_literacy,gpi_sec,gpi_tert,edu_spend_gdp,gdp_pc_ppp,pop_total,work_age_share,gov_effect,voice_account,ctrl_corrup
GEO,Georgia,Upper middle income,2019,35.9,6.8,9.7,97.47833640374968,69.6463934713126,100.0,99.8757151699707,100.0,1.00812995433807,0.9503463201091372,3.82985997200012,18186.8816465807,3720161.0,64.4923615039024,0.766199469566345,0.168092742562294,0.716545462608337
GEO,Georgia,Upper middle income,2020,34.5,7.0,12.0,97.81260195198716,71.8064531290391,100.0,99.8930662080586,99.7579598294181,1.00990998744965,0.958318265804514,3.80951130708125,17031.1440283426,3722716.0,64.1121823294811,0.716738402843475,0.0556090585887432,0.601492643356323
GEO,Georgia,Upper middle income,2021,34.2,7.0,10.8,97.94410402102024,77.2303110681266,100.0,99.9180842054209,100.0,1.00392997264862,0.9537343923542012,3.59441995620727,18915.6534005263,3708610.0,63.8378060056736,0.616529405117035,0.010173449292779,0.661079525947571
GEO,Georgia,Upper middle income,2022,33.5,7.0,7.7,98.00484911207214,79.3253367493498,98.041636879617,99.56999969482422,99.69000244140624,,0.9502138227756104,3.75498008728027,20966.5280391134,3712502.0,63.7158878760804,0.650143086910248,0.0156398266553879,0.620420038700104
GEO,Georgia,Upper middle income,2023,34.8,7.0,5.8,98.14752985500816,78.2652247393707,93.6469841521709,99.55999755859376,99.33999633789064,,0.954046775544236,3.70918011665344,22590.5293649146,3715483.0,63.6417358197995,0.791285872459412,0.0347131341695786,0.617694795131683
GEO,Georgia,Upper middle income,2024,33.9,7.3,4.2,98.41457598651712,,85.8520249507793,99.68000030517578,99.66000366210938,,0.9652988160850954,3.98011682083814,24883.9081161639,3699557.0,63.5635441096524,,,
IDN,Indonesia,Upper middle income,2015,38.2,7.4,21.6,87.8423207929976,32.4590200433758,95.7864737958094,95.22000122070312,99.66999816894533,1.00376999378204,1.039329227073038,3.58361005783081,10893.6621142169,261799249.0,66.9524898064165,-0.325818121433258,0.184877097606659,-0.519084393978119
IDN,Indonesia,Upper middle income,2016,36.9,7.4,18.0,87.8191791728036,34.8307173410877,99.2077611274975,95.37999725341795,99.66999816894533,1.03070998191833,1.023720531552552,1.21023452496964,11319.6634287738,264627418.0,67.077798038297,-0.0507822521030903,0.16793267428875,-0.463151514530182
IDN,Indonesia,Upper middle income,2017,36.4,7.4,14.8,90.9455391241064,35.967012362631,95.1407540800194,95.52000045776369,99.58,1.02471005916595,1.004431369051359,1.05324382490056,11772.5743296107,267346658.0,67.1982866155746,-0.0197342690080404,0.131470382213593,-0.305278927087784
IDN,Indonesia,Upper middle income,2018,36.3,7.4,12.5,84.97520023391805,36.1494878042588,100.0,95.66000366210938,99.70999908447266,1.048790596201991,1.005896351152177,0.994436460846179,12262.2310300771,269951846.0,67.3141002204628,0.141379877924919,0.162210986018181,-0.299604296684265
IDN,Indonesia,Upper middle income,2019,35.4,7.6,10.9,94.358962296259,37.3230862728703,100.0,95.83000183105467,99.74499893188477,1.0544206625039922,1.008403170525673,0.964399077622927,12757.7850854842,272489381.0,67.4223673692444,0.138700008392334,0.131386235356331,-0.473498523235321
IDN,Indonesia,Upper middle income,2020,35.3,7.6,9.8,93.30241320022084,38.1650601406923,99.2865225014332,96.0,99.77999877929688,1.0600507288059935,0.97938274393607,1.01593221347809,12388.5449268131,274814866.0,67.5576712934403,0.31706503033638,0.0993008315563202,-0.454962939023972
IDN,Indonesia,Upper middle income,2021,35.5,7.6,8.6,93.20046635288912,40.6293239880732,98.3300036590485,,96.78499938964843,1.065680795107995,0.9790259054392932,1.03221750658374,12757.0746440204,276758053.0,67.7378359790672,0.346443444490433,0.149332702159882,-0.449847877025604
IDN,Indonesia,Upper middle income,2022,35.5,7.8,7.9,93.81626307624082,42.3260385456152,100.0,,93.79,1.065715816691652,0.9787043631591562,0.863943349575907,13334.2653947637,278830529.0,67.9012667725156,0.436147511005402,0.14396958053112,-0.435335576534271
